feature,Class,Category,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,Mass,Sum.Formula,Total.FA,Total.C,Total.DB,Total.OH,FA,FA.C,FA.DB,FA.OH,LCB,LCB2,LCB.C,LCB.DB,LCB.OH,LCB.Bond.Type,FA1,FA1.C,FA1.DB,FA1.OH,FA1.Bond.Type,FA2,FA2.C,FA2.DB,FA2.OH,FA2.Bond.Type,FA3,FA3.C,FA3.DB,FA3.OH,FA3.Bond.Type,FA4,FA4.C,FA4.DB,FA4.OH,FA4.Bond.Type,Lipid.Maps.Category,Lipid.Maps.Class,Lipid.Maps.Subclass,Cellular.Component,Function,Bond.type,Headgroup.Charge,Lateral.Diffusion,Bilayer.Thickness,Intrinsic.Curvature,Transition.Temperature,FA.Unsaturation.Category1,FA.Unsaturation.Category2,FA.Chain.Length.Category1,FA.Chain.Length.Category2,FA.Chain.Length.Category3,LION.abbr,GATOM.abbr,LIPIDMAPS.reaction.abbr
PE O-36:3,PE O-,GP,PE O-36:3,,,SPECIES,727.55159,C41H78NO7P,36:3,36,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-36:3),PE(O-36:3),PE-O
PE O-36:4,PE O-,GP,PE O-36:4,,,SPECIES,725.53594,C41H76NO7P,36:4,36,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-36:4),PE(O-36:4),PE-O
PE O-36:5,PE O-,GP,PE O-36:5,,,SPECIES,723.52029,C41H74NO7P,36:5,36,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-36:5),PE(O-36:5),PE-O
PE O-38:2,PE O-,GP,PE O-38:2,,,SPECIES,757.59854,C43H84NO7P,38:2,38,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-38:2),PE(O-38:2),PE-O
PE O-38:3,PE O-,GP,PE O-38:3,,,SPECIES,755.58289,C43H82NO7P,38:3,38,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-38:3),PE(O-38:3),PE-O
PE O-38:4,PE O-,GP,PE O-38:4,,,SPECIES,753.56724,C43H80NO7P,38:4,38,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-38:4),PE(O-38:4),PE-O
PE O-38:5,PE O-,GP,PE O-38:5,,,SPECIES,751.55159,C43H78NO7P,38:5,38,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-38:5),PE(O-38:5),PE-O
PE O-38:6,PE O-,GP,PE O-38:6,,,SPECIES,749.53594,C43H76NO7P,38:6,38,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-38:6),PE(O-38:6),PE-O
PE O-40:2,PE O-,GP,PE O-40:2,,,SPECIES,785.62984,C45H88NO7P,40:2,40,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-40:2),PE(O-40:2),PE-O
PE O-40:4,PE O-,GP,PE O-40:4,,,SPECIES,781.59854,C45H84NO7P,40:4,40,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glycerophospholipids [GP],glycerophosphoethanolamines [GP02],"1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",endoplasmic reticulum (ER)|mitochondrion,membrane component,contains ether-bond,headgroup with positive charge / zwitter-ion,,,negative intrinsic curvature,,,,,,,PE(O-40:4),PE(O-40:4),PE-O
